onset	duration	trial_type	trial_number	event_code	response_time	response	result
-157.7236114	n/a	n/a	n/a	1	n/a	n/a	n/a
n/a	n/a	n/a	n/a	11	n/a	n/a	BREATHING_LOAD_RUN=YES
-157.7236114	n/a	n/a	n/a	1	n/a	n/a	n/a
-144.54638	n/a	4	0.0	3	n/a	n/a	n/a
-144.54638	9	4	0.0	4	n/a	n/a	9
-135.530998	2.5	4	0.0	5	n/a	n/a	3
-134.9969923	n/a	2_4_0	0.0	8	9.54938770039007	1.0	-20
-134.5965329	n/a	2_4_1	0.0	8	9.949847100302575	-1.0	-90
-133.9640399	n/a	2_4_2	0.0	8	10.582340100314466	-1.0	-70
-133.2139323	n/a	2_4_3	0.0	8	11.332447700202465	1.0	-90
-133.0308197	 n/a	4	0.0	6	n/a	n/a	n/a
-133.0273014	0.75	4	0.0	13	0.75	n/a	-20
-132.2740258	0.75	4	0.0	13	0.75	n/a	-70
-131.5210079	0.75	4	0.0	13	0.75	n/a	20
-130.7674006	0.75	4	0.0	13	0.75	n/a	-20
-129.9991626	1	4	0.0	9	n/a	n/a	-90
-129.9991626	1	4	0.0	10	n/a	n/a	OLL Error
-128.9929536	n/a	4	0.0	7	n/a	n/a	16.5
-128.0482021	n/a	4	1.0	3	n/a	n/a	n/a
-128.0482021	9	4	1.0	4	n/a	n/a	9
-119.0325901	2.5	4	1.0	5	n/a	n/a	3
-118.7313239	n/a	1_4_0	1.0	8	9.316878200042991	1.0	140
-118.0495899	n/a	1_4_1	1.0	8	9.998612200375646	1.0	120
-116.5822872	n/a	1_4_2	1.0	8	11.465914900414646	1.0	100
-116.4888074	1	4	1.0	9	n/a	n/a	-200
-116.4888074	1	4	1.0	10	n/a	n/a	Miss
-115.4845408	n/a	4	1.0	7	n/a	n/a	16.5
-111.5505293	n/a	5	2.0	3	n/a	n/a	n/a
-111.5505293	9	5	2.0	4	n/a	n/a	9
-102.5349119	2.5	5	2.0	5	n/a	n/a	3
-102.0342143	n/a	6_5_0	2.0	8	9.516314999666065	1.0	-20
-101.8009317	n/a	6_5_1	2.0	8	9.749597599729897	1.0	120
-101.5345591	n/a	6_5_2	2.0	8	10.015970199834557	1.0	100
-101.2845392	n/a	6_5_3	2.0	8	10.265990099869668	1.0	80
-100.8349774	n/a	6_5_4	2.0	8	10.71555189974606	1.0	60
-100.0187647	 n/a	5	2.0	6	n/a	n/a	n/a
-100.0170709	0.75	5	2.0	13	0.75	n/a	-20
-99.2637356999	0.75	5	2.0	13	0.75	n/a	140
-98.5096119	0.75	5	2.0	13	0.75	n/a	-20
-97.7567336001	0.75	5	2.0	13	0.75	n/a	-20
-97.0026587001	0.75	5	2.0	13	0.75	n/a	-20
-96.2339901002	1	5	2.0	9	n/a	n/a	60
-96.2339901002	1	5	2.0	10	n/a	n/a	ONLL Correct
-95.2281813002	n/a	5	2.0	7	n/a	n/a	17.25
-94.3028079001	n/a	3	3.0	3	n/a	n/a	n/a
-94.3028079001	9	3	3.0	4	n/a	n/a	9
-85.2870765999	2.5	3	3.0	5	n/a	n/a	3
-84.7531189001	n/a	3_3_0	3.0	8	9.549689000006763	1.0	-20
-84.2525900002	n/a	3_3_1	3.0	8	10.050217899959533	-1.0	0
-83.6860862002	n/a	3_3_2	3.0	8	10.616721699945627	1.0	-20
-82.7705489998	 n/a	3	3.0	6	n/a	n/a	n/a
-82.7680707998	0.75	3	3.0	13	0.75	n/a	-20
-82.0136627001	0.75	3	3.0	13	0.75	n/a	20
-81.2610128	0.75	3	3.0	13	0.75	n/a	-20
-80.4915376999	1	3	3.0	9	n/a	n/a	-20
-80.4915376999	1	3	3.0	10	n/a	n/a	OLL Error
-79.4857832999	n/a	3	3.0	7	n/a	n/a	15.75
-78.5404667002	n/a	5	4.0	3	n/a	n/a	n/a
-78.5404667002	9	5	4.0	4	n/a	n/a	9
-69.5389649002	2.5	5	4.0	5	n/a	n/a	3
-67.9055666998	n/a	5_5_0	4.0	8	10.634900000412015	1.0	-20
-67.6063370002	n/a	5_5_1	4.0	8	10.93412970006466	1.0	-40
-66.9975899998	1	5	4.0	9	n/a	n/a	-200
-66.9975899998	1	5	4.0	10	n/a	n/a	Miss
-65.9905908001	n/a	5	4.0	7	n/a	n/a	17.25
-61.2900262	n/a	3	5.0	3	n/a	n/a	n/a
-61.2900262	9	3	5.0	4	n/a	n/a	9
-52.2743489998	2.5	3	5.0	5	n/a	n/a	3
-51.8402491999	n/a	4_3_0	5.0	8	9.449777000118047	-1.0	20
-51.3413133002	n/a	4_3_1	5.0	8	9.948712899815293	1.0	0
-51.1406502998	n/a	4_3_2	5.0	8	10.14937590016052	1.0	-20
-49.7586019002	 n/a	3	5.0	6	n/a	n/a	n/a
-49.7572063999	0.75	3	5.0	13	0.75	n/a	20
-49.0044593001	0.75	3	5.0	13	0.75	n/a	-20
-48.2525832998	0.75	3	5.0	13	0.75	n/a	-20
-47.4860120998	1	3	5.0	9	n/a	n/a	-20
-47.4860120998	1	3	5.0	10	n/a	n/a	ONLL Correct
-46.4804619998	n/a	3	5.0	7	n/a	n/a	15.75
8.0	0	n/a	n/a	2	n/a	n/a	n/a
16.0163054001	n/a	3	0.0	3	n/a	n/a	n/a
16.0163054001	9	3	0.0	4	n/a	n/a	9
25.0319630001	2.5	3	0.0	5	n/a	n/a	2.5
